f1_hex_code,f2_temp_log,f3_wave_phase,f4_micro_metric,f5_sector_class,f6_launch_date,f7_power_skew,f8_bimodal_core,f9_cargo_path,f10_status_mix,f11_sync_clock,f12_spatial_coord,f13_noisy_base,f14_crew_code,f15_parity_bit,target_breach
0xca,Temp: 25.69 C,66.75498993,30.68220475,Delta,2026-01-01,14.89753503,-19.9837736,B-C-A-B,F,38605,"(14, 5)",207,ieeyiayo,177,0
0x217,Temp: 27.50 C,9.553531383,35.0094004,Beta,2026-01-02,3.871631359,20.31617845,B-C-B-C-A,TRUE,59616,"(17, 6)",404,zueiaeae,195,1
0x3c0,Temp: 46.17 C,62.38593247,81.50996415,Gamma,2026-01-03,34.83006674,19.44491149,A-B-D-C,T,64479,"(16, 11)",417,iaiaeuzz,922,1
0x172,Temp: 23.93 C,45.17676787,92.70129677,Delta,2026-01-04,0.02918435205,22.58254768,B-D,0,90934,"(10, 15)",295,uzyooyyx,13,1
0xce,Temp: 30.56 C,58.66084632,46.05413981,Delta,2026-01-05,148.6615632,-20.84356015,A-B,1,50883,"(7, 2)",761,iaoeyzua,876,0
0xab,Temp: 41.35 C,16.80142077,90.64387919,Alpha,2026-01-06,96.51668212,22.62038382,D-A,T,43055,"(12, 19)",677,xuzyayoo,166,0
0x320,Temp: 25.86 C,73.68737449,38.61311741,Gamma,2026-01-07,9.087192383,-19.56807896,B-A-C-C,0,78731,"(12, 16)",208,izxaxexy,150,0
0x78,Temp: 34.88 C,86.27970775,52.40289178,Beta,2026-01-08,209.6410382,21.87495499,C-C,FALSE,17450,"(6, 3)",267,yoizyouo,341,0
0x2ca,Temp: 44.49 C,21.67398001,30.11658081,Gamma,2026-01-09,0.00694405332,-23.27013279,D-A-D-D-D,0,12925,"(2, 5)",917,aziyaeeo,925,1
0xdd,Temp: 47.98 C,9.571455552,67.00236775,Gamma,2026-01-10,0.2073505564,22.6233869,C,FALSE,90051,"(11, 3)",474,ixiiioao,557,1
0x236,Temp: 15.88 C,2.363858605,97.12931925,Gamma,2026-01-11,0.1101502009,-17.81571681,A-D,T,60272,"(3, 5)",176,xaxuuzyy,174,1
0x13a,Temp: 47.06 C,64.19715004,63.71088555,Gamma,2026-01-12,8.709705436,19.49264784,A-D-D-B-D,FALSE,15310,"(11, 3)",282,aoxxyyex,167,1
0x1ae,Temp: 29.68 C,60.70940361,41.84545349,Gamma,2026-01-13,0.04283403771,-19.30967059,B-B-B,0,41817,"(13, 8)",825,oeoixiuu,709,1
0x22e,Temp: 20.33 C,54.66974127,67.65575269,Alpha,2026-01-14,9.703488383,-20.97850907,D,1,54528,"(10, 2)",429,axyeioxa,718,0
0xbb,Temp: 28.37 C,23.19470961,20.93994038,Alpha,2026-01-15,61.0448251,-21.37270711,A,TRUE,65779,"(4, 18)",186,oixyixxi,594,0
0x1d8,Temp: 49.20 C,39.09059959,89.09065814,Delta,2026-01-16,8.049489717,-18.32221465,C-B,TRUE,94816,"(19, 4)",196,ioaiuzau,580,0
0xc7,Temp: 29.70 C,59.44763352,54.77447162,Alpha,2026-01-17,2.342580433,-20.13567703,B-D,1,92641,"(9, 16)",608,oiayixiy,97,0
0x3cb,Temp: 23.15 C,49.67668589,49.99212704,Delta,2026-01-18,0.05163167064,-15.96014534,C-A,F,94083,"(6, 4)",823,aiieeaax,679,0
0x2fb,Temp: 35.34 C,98.77855202,62.14196617,Delta,2026-01-19,0.07882280674,-22.88389001,A-C-C-A-A,TRUE,86310,"(9, 13)",693,xziuayiu,404,0
0xe6,Temp: 19.61 C,13.64397526,65.60576379,Beta,2026-01-20,42.4724961,-18.97525152,C-C,T,25457,"(9, 6)",377,exyaiezo,77,1
0x2f9,Temp: 13.03 C,69.5144554,16.38804675,Gamma,2026-01-21,10.36098191,20.11172788,A,F,52311,"(19, 14)",223,eizxuyyo,996,1
0x198,Temp: 15.16 C,40.43187681,70.75293269,Alpha,2026-01-22,0.8895331022,-19.38070057,B-D-A-C,T,13980,"(15, 3)",933,yozxoaiz,237,0
0x365,Temp: 15.12 C,42.81996149,31.53191955,Beta,2026-01-23,0.2854385135,-22.29205515,A-A-D-D-C,0,30886,"(5, 18)",403,yoeuixye,708,0
0x1bb,Temp: 16.08 C,71.75977657,73.54178429,Alpha,2026-01-24,0.002294079468,14.32498712,D,0,87112,"(14, 16)",876,aoeiyeau,291,1
